titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
"Happiest Days of Your Life, The",Richmound Fosdike,1999,67,Business Development,82,SE,Kungälv
Isolation,Doug Druce,2006,11,Business Development,88,CN,Maji
Knocked Up,Mirelle Lilford,1994,11,Research and Development,34,BR,Guaratinguetá
Grandmother,Bary Dillon,1994,33,Human Resources,27,CU,Madruga
Beyond Rangoon,Minette Vuitte,2006,78,Human Resources,34,ID,Singosari
Safe Passage,Honey Goatman,2006,31,Engineering,57,AL,Gradishtë
"Man from Snowy River, The",Theodosia Tooting,1992,89,Support,77,RU,Ramenki
Winning Streak,Raymond Bonds,1987,4,Training,38,ID,Cibinong
Plastic Paradise: The Great Pacific Garbage Patch,Arte Yeandel,2002,66,Human Resources,48,BR,José de Freitas
Witless Protection,Tadio Scullion,1993,13,Engineering,12,CN,Tianzishan
Shadows of Our Forgotten Ancestors (Tini zabutykh predkiv),Gram Mangenet,1994,59,Accounting,35,HN,Marcala
Ulee's Gold,Hugo Zecchinii,1996,47,Support,74,RW,Kigali
Armored Car Robbery,Erinn Kelcher,2000,61,Training,100,AR,Clorinda
Do the Right Thing,Harrison MacSorley,2012,46,Research and Development,98,CN,Yixi
Float,Lazare Kreuzer,2008,17,Sales,41,PT,Fornos
Tom Sawyer,Renaldo Westphalen,2002,86,Sales,51,TR,Yeniköy
"Merchant of Four Seasons, The (Händler der vier Jahreszeiten)",Kaspar Androlli,2008,15,Legal,75,JP,Okaya
Happy We (Två killar och en tjej),Myrtia Stuer,1997,47,Accounting,52,MK,Радишани
Blind Pig Who Wants to Fly (Babi buta yang ingin terbang),Eberto Finkle,2012,76,Product Management,55,PE,Pucacaca
Spread,Bastian Corhard,1988,10,Product Management,99,ID,Cihaur
Mr. Warmth: The Don Rickles Project,Nathanial Bosden,1993,53,Accounting,51,CN,Shengshan
Children of the Corn,Walden Brookhouse,2007,7,Engineering,71,CN,Leiyang
Underworld: Awakening,Gretchen Elles,2004,62,Accounting,72,JP,Kameyama
Smooth Talk,Matteo Dilks,1999,8,Product Management,93,GR,Pithári
"Macbeth (a.k.a. Tragedy of Macbeth, The)",Rodney Burgis,2012,68,Business Development,98,SE,Valbo
Synchromy,Trudi Lacelett,1997,40,Human Resources,10,ID,Karangbungur
The Wait,Seana Ixor,1996,47,Business Development,25,ID,Peuara
"Silver Chalice, The",Franz Leethem,1999,63,Marketing,45,PE,Potoni
LOL (Laughing Out Loud),Hatti Heys,2004,25,Legal,55,UY,Mariscala
Summer and Smoke,Andre Caldwall,1993,16,Services,56,CN,Zhanghekou
"Adventures of Mark Twain, The",Svend Armour,1994,15,Product Management,75,CN,Wenshui
Turn Left at the End of the World (Sof Ha'Olam Smola),Natalina Farraway,1989,61,Training,64,CN,Yuefeng
Urgh! A Music War,Forest Sussans,2000,89,Engineering,19,MN,Javarthushuu
No Turning Back,Leland Grishakov,1988,15,Business Development,25,PT,Paderne
Kiss Me Goodbye,Hastie Semple,2009,7,Human Resources,74,KG,Kyzyl-Kyya
Nativity 2: Danger in the Manger!,Jocelyne Bastie,2010,4,Human Resources,54,CN,Shiguai
"Giant of Marathon, The (Battaglia di Maratona, La)",Cirilo Pauley,2007,57,Legal,7,CN,Jiulongshan
"Trip to the Moon, A (Voyage dans la lune, Le)",Vitoria Laskey,1996,21,Marketing,83,HR,Dubrava
Once Upon a Time in Anatolia (Bir zamanlar Anadolu'da),Nelson Gunderson,2007,73,Business Development,88,FR,Roissy Charles-de-Gaulle
"Three Burials of Melquiades Estrada, The",York Tanfield,1985,19,Support,29,RU,Vilya
Meet the Spartans,Hephzibah Barensen,2012,100,Engineering,4,MX,Venustiano Carranza
Then I Sentenced Them All to Death (Atunci i-am condamnat pe toti la moarte),Jeddy Lanyon,2007,22,Training,74,ID,Seseng
Dry Summer (Susuz yaz) (Reflections),Brook Hanhardt,2001,70,Business Development,33,AF,Karukh
Typhoon (Tae-poong),Ariela Rennock,2011,27,Product Management,7,AF,Bala Murghab
Confidential Agent,Rebekkah Cocks,2009,29,Support,70,PH,Santo Domingo
Vatel,Berkly Guilder,2005,44,Marketing,18,SE,Nybro
Ghost Machine,Sidonnie Crossan,1992,19,Business Development,31,PH,Palagao Norte
Hell in the Pacific,Deane Piller,1997,40,Business Development,10,LV,Riebiņi
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin),Elenore Fosserd,1992,94,Marketing,57,CN,Huaguo
Buffalo Bill,Rani Vieyra,1999,26,Product Management,32,PE,Bambas
Tromeo and Juliet,Gabriel Tibb,2001,36,Accounting,46,CN,Shigutang
Romanzo Criminale,Georgena Beneyto,2010,20,Marketing,15,SD,El Bauga
"Art of the Steal, The",Terrell Cordet,2007,13,Business Development,68,CN,Hongdu
"Place in the Sun, A",Wilow Ebrall,2003,24,Marketing,72,ID,Tuateta
Dimensions of Dialogue (Moznosti dialogu),Aggi Pietrzyk,2007,49,Legal,47,MK,Dolno Palčište
Stuart Little,Zabrina Billison,1992,42,Human Resources,82,BR,Monte Azul Paulista
Possible Worlds,Kitty Melross,1997,45,Human Resources,53,CN,Cishangang
The Car,Jacklin MacKimmie,2003,29,Training,1,BA,Donja Dubica
Hearts of Darkness: A Filmmakers Apocalypse,Alfi Wagstaffe,1995,58,Sales,63,RU,Kropotkin
Fahrenheit 451,Marcellus Durnall,1996,91,Human Resources,73,PH,Malabang
"Life Aquatic with Steve Zissou, The",Cameron Blankhorn,1992,64,Services,50,CZ,Rychnov nad Kněžnou
If You Could See What I Hear,Sebastian Wolffers,2002,64,Research and Development,19,CN,Tianqian
Mad Dog Time,Dallon Harefoot,1985,54,Research and Development,31,BD,Baniachang
Stop Making Sense,Tonnie Hockey,2003,91,Accounting,79,ID,Ratenggoji
Hell Drivers,Karlotta Mowsley,1988,21,Human Resources,100,ID,Semampirbarat
Two Queens and One Consort (Twee vorstinnen en een vorst),Mikael Krysztofiak,2012,58,Engineering,76,ID,Kembangkerang Satu
"Day at the Races, A",Sansone Schumacher,1993,26,Support,30,PE,Chacapalpa
Stuart Little 3: Call of the Wild,Sancho Soigoux,2003,7,Legal,96,CN,Caofang
Observe and Report,Vaughan Shawl,2010,97,Services,69,NO,Skien
Teachers,Caresa Shewring,2007,99,Sales,36,CN,Xinhua
Sometimes They Come Back... Again,Melonie Kitter,2009,81,Business Development,34,CZ,Velký Újezd
"Acadia Acadia?!? (L'acadie, l'Acadie)",Gilberta Merriott,1996,81,Services,26,CN,Ya’ergenchu
Enigma,Timothea Alwood,2011,46,Legal,72,CN,Jianxin
Hardboiled Egg (Ovosodo),Tedman Fonso,1986,90,Legal,2,ES,Gijon
The Siege of Firebase Gloria,Kathe Goggins,2012,1,Support,2,CN,Qi’an
Moonstruck,Osmund Knighton,2002,11,Engineering,37,GR,Kassándreia
Warrior,Josephine Jewel,2005,79,Training,83,CN,Danchang
Pigs and Battleships (Hogs and Warships) (The Flesh Is Hot) (Buta to gunkan),Kittie Burcher,2004,77,Training,16,PH,San Francisco
Fuga de cerebros,Hilarius Brolan,2010,53,Training,52,TO,Neiafu
Puppetry of the Penis: Live at the Forum (Puppetry of the Penis: The Ancient Art of Genital Origami),Mildrid Woodland,2008,31,Support,25,CN,Tengqiao
Don Jon,Nilson Goldson,2000,20,Research and Development,3,CA,Wabana
Leatherface: Texas Chainsaw Massacre III,Anita Hasard,2008,23,Training,31,BO,Riberalta
Cousins,Adelheid Godier,1996,52,Engineering,23,CA,Saint-Bruno-de-Guigues
Appointment with Danger,Sandro Bletsoe,2000,99,Marketing,52,BO,La Cueva
"Steal Big, Steal Little",Yoko Forrest,1996,34,Accounting,93,ID,Pangligaran
Sheitan,Deina Knath,2009,2,Marketing,35,PE,Bajo Pichanaqui
Blood and Bone,Burnard Adkins,2006,61,Support,17,XK,Orahovac
"Attack, The",Ryann Jurries,2000,36,Engineering,49,SN,Gandiaye
What Men Talk About,Alick Leif,1994,32,Accounting,77,PT,Bairro do Margaça
9 Month Stretch (9 mois ferme),Sandie Knowlton,2010,43,Sales,20,CO,Canalete
Please Give,Cassi Hilhouse,1999,61,Human Resources,20,US,Kansas City
Nobody Lives Forever,Amalea Gubbin,1995,49,Sales,52,CN,Huabeitun
"Terrible Kids (Enfants terribles, Les) (Strange Ones, The)",Hermine LAbbet,2009,63,Product Management,11,EG,Kafr az Zayyāt
Holy Man,Philis Godar,1995,54,Human Resources,80,FI,Kaustinen
Rage at Dawn,Brennan Sawney,2012,9,Human Resources,12,CA,Saint-Bruno-de-Montarville
"Nosferatu (Nosferatu, eine Symphonie des Grauens)",Ladonna Lampard,1999,35,Training,68,PE,Uticyacu
Promised Land,Heinrik Lytton,1994,52,Business Development,14,ID,Pamanukan
Daltry Calhoun,Idalina Woodruffe,1994,69,Human Resources,36,ID,Cibalieur
"Cruel Romance, A (Zhestokij Romans)",Stafford Wedge,2008,78,Sales,73,ID,Banjar Dharmasemedi
"Messenger, The (Ulak)",Arlana Elverston,1996,99,Business Development,28,FI,Karis
Gunday,Bendix Viner,1995,42,Marketing,72,LT,Viekšniai
The African,Gallagher Andreichik,1984,78,Accounting,88,AL,Fier
"Girl on the Train, The (La fille du RER)",Feodora Pedlar,1993,37,Legal,84,PH,La Libertad
Gaudi Afternoon,Ev Brouard,2010,50,Legal,82,JP,Tenri
Thank You a Lot,Teressa Smillie,2003,99,Business Development,1,PH,Cabog
Things You Can Tell Just by Looking at Her,Townsend Janodet,2009,29,Product Management,63,RU,Saratov
Flesh Gordon,Bamby Aggio,1988,12,Engineering,11,PH,Paitan Este
Exam,Alene Shiel,1993,1,Business Development,69,CN,Pu’an
Cargo,Auroora Spino,2002,70,Services,98,RU,Kuz’minskiye Otverzhki
Where the Road Meets the Sun,Heidi Harmon,2006,1,Human Resources,43,KW,Ḩawallī
The Land Before Time VI: The Secret of Saurus Rock,Winnah Dekeyser,2005,61,Engineering,21,PL,Łazy
Band Baaja Baaraat,Elspeth Kid,2004,21,Marketing,84,UA,Smyga
Miss Congeniality,Jaimie McMoyer,2004,35,Human Resources,6,CN,Xibu
"Proud and the Beautiful, The (Orgueilleux, Les) (Proud Ones, The)",Saraann McGuinness,2005,78,Business Development,39,ID,Jembangan
Return of the Killer Tomatoes!,Marinna Palfreeman,2008,28,Sales,48,CN,Jinzhuang
This Movie Is Broken,Hildegaard Covotti,2005,16,Marketing,96,PH,Santa Lucia
Monsterman (Monsterimies),Sauveur Skade,2008,52,Sales,36,CN,Beizhouzi
WarGames,Stephie Bohlmann,1986,99,Product Management,100,CO,Ibagué
Up!,Broddy Pezey,1992,93,Support,1,ID,Napu
"Breaktime, The (Zang-e Tafrih) (Recess)",Rodina Chidwick,2012,45,Services,65,US,Saint Louis
Bad Girl Island (Sirens of Eleuthera) (Sirens of the Caribbean),Kelby Tripean,2008,17,Training,49,ID,Kalidawe
Tarzan Finds a Son!,Quinton Manilow,1999,15,Product Management,11,CN,Mingguang
"Bobby Jones, Stroke of Genius",Ring Thon,2000,97,Business Development,40,PT,Pinhal General
She Done Him Wrong,Nevin Spollen,1994,6,Support,28,EC,La Troncal
Eros (Men and Women) (Noite Vazia),Charmine Need,2006,24,Sales,84,CN,Zhanlong
"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les)",Donnie Vala,2002,93,Marketing,62,CN,Lixi
Eye for an Eye,Mirella Dermot,2008,21,Support,62,SE,Falköping
Batman Forever,Delmar Chinnery,2011,30,Support,73,MY,Kuching
Shooting War,Albina Teal,2011,30,Support,44,CN,Hengjiang
Tokyo Fist (Tokyo ken),Shanon Stetlye,1998,98,Product Management,48,RU,Tëplaya Gora
"Adventures of Picasso, The (Picassos äventyr)",Hilde Thornton-Dewhirst,1992,42,Accounting,34,PH,Nagpandayan
Female Trouble,Quill Gringley,1988,49,Business Development,64,CN,Hechuan
Love and Other Drugs,Justinian Causton,1995,45,Legal,49,PH,Sagud-Bahley
'Neath the Arizona Skies,Latrina Micklewright,2001,22,Support,43,NO,Oslo
Tali-Ihantala 1944,Suzie Agus,1993,28,Marketing,63,LY,Zalţan
Turbo,Zia Abbati,1996,2,Accounting,55,SE,Olofström
Sarafina!,Guthrey Emmerson,2011,12,Sales,19,PT,Alcácer do Sal
Saving Shiloh,Brantley Grunwald,1992,20,Sales,88,PH,Claveria
"Delicate Balance, A",Kermie Pevsner,2000,27,Product Management,59,CA,Delson
Greyfriars Bobby (a.k.a. Greyfriars Bobby: The True Story of a Dog),Georgianna Yetts,2003,46,Product Management,41,CI,Séguéla
Commander Hamilton (Hamilton),Adoree Aleksashin,1999,94,Services,53,KP,Hyesan-si
Street Fighter II: The Animated Movie (Sutorîto Faitâ II gekijô-ban),Duky Poel,1992,6,Support,66,SE,Luleå
Naked Lunch,Marlene Rosini,2006,42,Human Resources,25,JP,Gose
Herb & Dorothy,Susy Schall,2012,55,Sales,50,CN,Xuancheng
Neighbouring Sounds (O som ao redor),Kristy Smullin,2010,97,Business Development,8,MX,San Antonio
Bean,Willis Ingham,2011,96,Legal,58,PH,Lapuz
Venus Beauty Institute (Vénus beauté),Dianne Casali,2004,60,Accounting,33,CN,Yuanmou
Blood Moon,Charity Good,2004,10,Support,99,LV,Varakļāni
Bright Lights (Adventures in Africa),Ruthe Matous,2002,82,Product Management,81,CN,Jiaoziya
Fandango,Kayla Readett,2009,18,Legal,14,CN,Muyi
"Seagull's Laughter, The (Mávahlátur)",Catlee Slark,1994,28,Product Management,15,CN,Shangqiu
Division III: Football's Finest,Winny Brissard,2008,70,Business Development,35,RU,Novosin’kovo
Casual Relations,Davey Litel,1988,58,Sales,27,JP,Niihama
"Short Film About John Bolton, A",Glenn Cregeen,2011,17,Legal,89,MN,Darhan
The Happy Road,Sophey Wateridge,2000,13,Marketing,97,PH,Tartaro
Just Write,Kathe Abate,2007,45,Human Resources,58,MN,Shiree
Kummeli Goldrush (Kummeli kultakuume),Bailie Cokely,2009,85,Services,59,BO,Uyuni
Black Rock,Alyda Buye,1989,81,Product Management,55,PT,Sever do Vouga
"Name of the Rose, The (Name der Rose, Der)",Camellia Zorzenoni,1992,82,Legal,89,VN,Tiên Phước
Harum Scarum,Lenna Dawidowsky,1998,85,Legal,100,CN,Biyong
Who Wants to Kill Jessie? (Kdo chce zabít Jessii?),Arabella Breit,2000,72,Accounting,35,CI,Songon
Soo (Art of Revenge),Kerrie McGourty,2011,87,Engineering,84,RU,Rostokino
Nicht mein Tag,Lucias Evert,2003,24,Engineering,24,CN,Yitang
Iraq in Fragments,Jilli Longcaster,2005,25,Human Resources,90,CU,Río Guayabal de Yateras
Goats,Berna Bonnick,2003,30,Training,70,ID,Sukamulya
Chaos,Spike Rotlauf,2009,30,Legal,69,RU,Bogandinskiy
Color of Night,Roderick Gounot,2009,92,Legal,59,HR,Gospić
Industrial Symphony No. 1: The Dream of the Brokenhearted,Marshall Davidek,2002,60,Research and Development,80,CN,Yeshan
Night of the Comet,Bettine Gilders,1988,91,Accounting,2,PH,Daraitan
When Nietzsche Wept,Conchita Rolance,1995,32,Services,5,CN,Shifan
"Deceivers, The",Shurlocke Tschursch,2011,96,Sales,74,MK,Ранковце
Surviving the Game,Arnaldo Wardesworth,2013,86,Accounting,5,CZ,Rychvald
Boo to You Too! Winnie the Pooh,Thornton Tiffin,2005,98,Research and Development,44,GR,Siteía
10 minutes (10 minuta),Rollo Daveridge,1997,38,Sales,38,SE,Markaryd
Katatsumori,Pall Wolfindale,1955,74,Product Management,86,JO,‘Izrā
Fast Lane,Edy O Sullivan,2011,72,Business Development,47,CZ,Vnorovy
"Herod's Law (Ley de Herodes, La)",Rolland Rogans,2010,40,Engineering,50,CN,Haokou
Sanatorium,Edythe Domoni,1995,27,Human Resources,96,PL,Niebylec
Riot on Sunset Strip,Abbey MacSharry,2010,41,Legal,19,BR,Mirador
Destiny Turns on the Radio,Nadeen Cicconetti,1986,99,Marketing,80,ZW,Chegutu
"Story of Luke, The",Jud Copelli,1968,34,Business Development,43,SS,Yambio
Man's Favorite Sport?,Teriann Auty,2012,28,Sales,75,ID,Doropayung
Trek Nation,Gussie Balmann,2001,45,Research and Development,89,ID,Pasarbaru
"Anniversary, The",Halie Killough,2010,47,Training,28,PH,Guiuan
"O-Bi, O-Ba - The End of Civilization (O-bi, O-ba - Koniec cywilizacji)",Kristan Novak,2010,21,Sales,75,RU,Uryupinsk
Lady Snowblood (Shurayukihime),Osbourne Stolting,1964,4,Marketing,28,PT,Santa Cruz das Flores
In Search of a Midnight Kiss,Lyndel Findlater,1985,28,Sales,49,PH,Prinza
Fletch Lives,Britta Egre,2001,17,Sales,67,CN,Niutang
Ironclad 2: Battle for Blood,Berte Pennazzi,2007,59,Engineering,84,ID,Congkar
Hellhounds on My Trail,Christean Jennemann,1992,23,Engineering,57,CN,Chahe
"Ladies Man, The",Celestyn Maber,1988,51,Human Resources,63,FR,Metz
Take the High Ground!,Nancee Dawe,2005,74,Business Development,89,ID,Nunhala
Operation Crossbow,Adelice Pumfrey,2007,33,Services,14,CN,Baxiangshan
Roadkill (a.k.a. Roadkill: Move or Die),Guthrie Robison,1996,84,Research and Development,10,CN,Wangpu
Santos,Mozes Ormes,2009,100,Product Management,9,CA,Selkirk
Thank Your Lucky Stars,Marv Birckmann,1998,75,Support,15,BG,Kŭrdzhali
Porky's,Tedd Giocannoni,1997,3,Training,21,RU,Pechora
Chinese Odyssey 2002 (Tian xia wu shuang),Genvieve Ballsdon,2000,12,Sales,98,CN,Bayang
No Logo,Kally Cankett,1994,28,Legal,52,FM,Pisaras
Fall of the Republic: The Presidency of Barack H. Obama,Berti Munn,1998,19,Product Management,7,ID,Krajan Tanjungrejo
"Devil's Ground, The",Halsy Reynolds,1993,50,Research and Development,35,RU,Lesnoy
In Vanda's Room (No Quarto da Vanda),Hasty Lubomirski,2006,22,Business Development,52,PT,Santo Amador
Rage,Lucian Nuccii,1996,47,Services,89,FR,Amiens
Driving Lessons,Grayce Hails,2000,27,Marketing,19,ID,Lokuuy
Thomas Jefferson,Eartha Qusklay,1989,84,Engineering,89,IQ,Hīt
Die,Darnall Hellens,2006,27,Legal,85,HN,Santa Rosa de Aguán
Young Tom Edison,Jaime Purchon,1994,71,Business Development,90,ID,Pancoran
Tremors 4: The Legend Begins,Kirsteni Groneway,2003,84,Human Resources,97,JP,Ibara
"Ugly, The",Miquela Itzkovwich,2009,29,Business Development,41,RS,Kikinda
Choppertown: The Sinners,Alonzo Skudder,2009,2,Human Resources,38,CM,Loum
"Patriot, The",Moises Fairchild,1993,79,Sales,39,ID,Kaliwates
Plunkett & MaCleane,Jess Millery,1986,14,Support,17,HN,Amapala
Werckmeister Harmonies (Werckmeister harmóniák),Kelley Kurten,1979,41,Research and Development,81,PE,Ccuntuma
Berlin Express,Maisie Pinney,2012,43,Accounting,53,CO,Mariquita
"Trials of Oscar Wilde, The",Arvie Fowler,1999,86,Engineering,81,PT,Lomba do Loução
Thin Ice,Deane Worley,1995,75,Legal,77,CV,Calheta
Heart of Dragon (Long de xin),Hyman Dyte,2013,87,Legal,11,LK,Sri Jayewardenepura Kotte
Two Lovers,Paolina Banham,2002,2,Research and Development,29,MX,Lindavista
"Diary for Timothy, A",Leia Domb,1992,97,Legal,97,NI,Las Sabanas
"Power of Nightmares, The: The Rise of the Politics of Fear",Bealle Durward,2013,33,Support,61,CN,Zhonghuopu
Floods of Fear,Viviyan Attrill,1989,19,Research and Development,26,CN,Honghualiangzi
Plutonium Circus,Rochelle Millea,2007,24,Training,83,CN,Nanxing
Curse of the Blair Witch,Albert Kinsman,1989,7,Engineering,95,CN,Heshui
Private Hell 36,Grannie Butrimovich,1963,52,Sales,50,HR,Baška Voda
Becoming Jane,Saunders Frenchum,1991,9,Sales,2,ID,Pondokaso
"Not for or Against (Quite the Contrary) (Ni pour, ni contre (bien au contraire))",Savina Paradyce,2009,82,Support,19,CN,Taozhuang
The .44 Specialist,Valaree Antoniottii,2007,93,Research and Development,17,CA,Hearst
Restoration,Lorin Linnemann,1984,77,Human Resources,70,SE,Stockholm
The Violent Professionals,Cassi Croley,2003,86,Legal,19,CN,Fuliang
"Bridal Party in Hardanger, The (Brudeferden i Hardanger)",Ellwood Buckeridge,1993,46,Human Resources,17,KZ,Tekeli
Wuthering Heights,Wiley Gaine of England,2009,56,Product Management,83,ID,Jatirejo
"Last Run, The",Shaughn Tapply,1997,4,Product Management,31,RU,Vazhiny
Bad Company,Merrill Jagoe,2012,67,Services,9,ID,Olejet
28 Up,Pip Cloney,1994,1,Support,59,UY,San Javier
"Henry: Portrait of a Serial Killer, Part 2",Lucian McCrisken,1993,69,Legal,13,ID,Seren Barat
Tremors II: Aftershocks,Claribel Burnham,2012,44,Legal,96,CN,Zhongxing
Monster in a Box,Ester Jorissen,2005,43,Support,11,AF,Now Zād
The Bronze,Pernell O' Sullivan,1995,2,Training,48,CN,Binhailu
Survival Island (Three),Henry Whittier,1993,55,Business Development,36,ID,Lohayong
Mr. Baseball,Cristen Thurner,2004,69,Training,81,RU,Svetlogorsk
Mad City,Alexi Bartoszewicz,2011,48,Marketing,65,ID,Karangranjong
"Untouchables, The",Paulette Lemmanbie,2010,16,Human Resources,73,CN,Long’an Chengxiangzhen
Take Shelter,Glen Persich,1985,20,Business Development,33,CN,Wangcun
"Edge, The (Kray)",Merle Munson,2007,25,Engineering,94,CN,Wangmeng
For a Lost Soldier (Voor een Verloren Soldaat),Gerhard Wiltshaw,1990,75,Legal,90,GT,San Pedro Jocopilas
Twice Upon a Time,Kittie Tattoo,1993,25,Support,35,JM,Cambridge
If Lucy Fell,Gustaf Ambrus,2002,57,Human Resources,81,ID,Aengceleng
Impulse,Arlen Bucklan,2003,5,Product Management,7,CN,Huang’ao
"King of Comedy, The",Gerrard Bierman,1987,67,Product Management,81,FR,Le Mans
"Study in Choreography for Camera, A",Fidelity Stovin,2003,66,Human Resources,88,PH,San Miguel
"Girl, Positive",Ada Mateiko,2005,22,Accounting,8,TH,Ban Mo
Inseparable,Barn Madigan,2004,9,Engineering,57,BR,Pancas
"Place Beyond the Pines, The",Jaime Peat,2010,78,Accounting,20,RU,Grazhdanskoye
'71,Aharon Wasbrough,2008,13,Research and Development,84,ID,Sadar
"Child, The",Herculie Sinderland,2001,40,Product Management,33,CZ,Loučná nad Desnou
Joe,Marni Franzolini,2000,82,Research and Development,100,MA,Tiout
End of Days,Orton Puckett,2008,59,Engineering,78,RU,Mayma
"Great Flamarion, The",Laurianne Danbi,2011,11,Marketing,95,HT,Quartier Morin
Mad Bastards,Mavis Stedman,2001,32,Engineering,45,ID,Banda Layung
4 Little Girls,Wylie McEntee,2007,42,Sales,77,PL,Mikstat
Evolution,Dewie Caley,1994,66,Human Resources,81,BR,Lauro de Freitas
36 fillette,Lem Ringer,1998,58,Product Management,93,GH,Obuasi
"Rendez-vous d'Anna, Les (Meetings of Anna, The)",Alie Parsonson,2004,50,Services,17,TH,Si Prachan
Silkwood,Iggy Sommerfeld,1996,79,Product Management,68,GR,Prámanta
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Merry McKirdy,1991,6,Engineering,64,CN,Xiaoling
Twice Upon a Time,Lorenza Rankine,2009,88,Business Development,13,CN,Dongli
How to Stuff a Wild Bikini,Kayle Yetts,1997,9,Research and Development,71,PL,Kobiernice
Neds,Lacy Lanfear,2003,69,Human Resources,6,CZ,Buštěhrad
"Passion of Darkly Noon, The",Hi Stapley,2007,20,Services,49,FR,Rungis
Molière,Timmi Hartropp,2003,99,Research and Development,56,GA,Mayumba
Chasing Beauty,Nigel Hinge,2002,17,Business Development,48,MU,Poste de Flacq
Paris Blues,Steffie Michallat,2002,20,Research and Development,73,IE,Drumcondra
Friends with Money,Corly Lampard,1996,65,Accounting,22,MY,Melaka
Falling Awake,Maurita Burdoun,1997,86,Business Development,76,HN,Río Blanquito
Stiff Upper Lips,Lizette D'Oyley,2012,47,Training,48,ID,Suban Jeriji
Examined Life,Colby De Roos,2003,14,Research and Development,66,MG,Ampasimanolotra
The Pokrovsky Gates,Miof mela Waterfall,2007,11,Training,45,LB,Bcharré
Whoopee!,Moreen Skowcraft,1998,66,Product Management,98,MX,Loma Bonita
"Shepherd: Border Patrol, The",Tobie Van Halle,2011,38,Engineering,24,PE,Tisco
Penguins of Madagascar,Fairleigh Stump,2010,10,Training,53,US,Salt Lake City
"Go-Between, The",Cesar Bellay,2004,79,Business Development,31,PH,Dangcalan
Crocodile Dundee II,Kora Huge,2001,28,Marketing,74,BR,Cubatão
Trapped Ashes,Terence Smythin,1986,36,Accounting,31,MX,Benito Juarez
Garbo the Spy (Garbo: El espía),Alvie Grahame,1987,82,Marketing,12,CN,Yunlu
Happy Birthday to Me,Ingrim Crichmer,2001,33,Accounting,13,BR,Poços de Caldas
Ronal the Barbarian,Simonette Downey,2005,15,Business Development,62,AO,Lubango
Nora's Will (Cinco días sin Nora),Claretta Nollet,2005,17,Marketing,14,AF,Āsmār
Con Air,Godfrey Ciccottio,2009,27,Research and Development,7,CN,Yuanyang
"Bamba, La",Neddie Bessant,2003,53,Research and Development,62,PH,Bone South
Defiance,Lem Hitter,1994,81,Sales,26,PH,Sabang
Brother (Brat),Hartwell Guillot,1985,25,Product Management,77,CN,Xiaolukou
"Last Laugh, The (Letzte Mann, Der)",Tallou McCromley,1983,70,Product Management,65,CN,Junxi
The Connection,Lurette Caesmans,1992,5,Accounting,50,ID,Sasa
3 Little Ninjas and the Lost Treasure,Daniel Garrit,1993,97,Training,30,FR,Chartres
Jailhouse Rock,Hannis Janicek,2004,53,Business Development,51,PH,Bonga
"Apparition, The",Raymund Rosenwasser,1985,32,Training,34,ID,Patalan
"Long Weekend, The",Mace Fermer,2007,80,Business Development,58,ZA,Lydenburg
Shadow Magic,Lyndell Thor,2007,10,Business Development,3,PH,Baclayon
Seventh Horse of the Sun  (Suraj Ka Satvan Ghoda),Lemuel Roussel,1989,20,Sales,73,UA,Mizoch
Hallelujah!,Read Margery,2011,42,Research and Development,35,AL,Vlorë
Werner - Volles Rooäää,Sansone Malicki,2013,66,Services,95,RU,Budënnovsk
Earth vs. The Spider,Blondelle Plank,1985,31,Research and Development,5,PE,Pocsi
"Iran Job, The",Petra Rulten,1992,68,Engineering,77,PE,Mache
Waiting for Forever,Zilvia Coppock.,1992,11,Business Development,72,PE,Taraco
Rodan (Sora no daikaijû Radon),Amelie Fetterplace,2008,80,Legal,20,CN,Pingtan
Super Rich: The Greed Game,Michell Netherclift,1998,23,Services,35,US,Rockford
Gods and Generals,Brenden Hosburn,1957,5,Human Resources,85,RU,Tyukalinsk
"Independent, The",Janel Alford,2004,8,Business Development,21,ID,Lamalera
Bunraku,Peri Philippart,2007,54,Services,9,SY,Ḩarastā
Single White Female 2: The Psycho,Valentijn Aucourte,2003,71,Support,20,AG,Liberta
"Women on the 6th Floor, The (Les Femmes du 6ème Étage)",Merrilee Westbrook,2002,82,Training,55,AF,Nahrīn
Games of Love and Chance (L'esquive),Benedick Vaszoly,2003,15,Legal,32,BR,Juazeiro do Norte
Philomena,Gabie Theseira,2001,13,Marketing,28,RU,Novokhovrino
Dominion Tank Police (Dominion),Klara Seiffert,1992,89,Business Development,38,SE,Tranås
My First War,Kathryn Staniland,1993,92,Engineering,28,CO,Campoalegre
Corpo Celeste,Hartwell Lawrey,1999,20,Marketing,100,US,Seattle
Mr. Deeds,Meyer Blackburn,2010,60,Support,95,HR,Kuče
Read It and Weep,Collin Giacobilio,2002,70,Services,89,BR,Timbiras
"To Do List, The",Fallon Ben-Aharon,2001,70,Business Development,82,SE,Bromma
Wonderful Days (a.k.a. Sky Blue),Ursala Rotchell,1994,81,Services,53,CN,Pantian
"Paralyzing Fear: The Story of Polio in America, A",Floyd Wedon,2003,77,Sales,89,CA,Magog
